time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,Open time,Close time
2022-11-01T03:45:25.0820000Z,2022-11-01T03:49:07.4730000Z,20488,20491,20483,20484,0.42374,11,2022-11-01 03:45:00+00:00,2022-11-01 03:50:00+00:00
2022-11-01T03:50:05.7190000Z,2022-11-01T03:54:56.6510000Z,20487,20503,20478,20503,2.4260633,20,2022-11-01 03:50:00+00:00,2022-11-01 03:55:00+00:00
2022-11-01T03:55:01.7700000Z,2022-11-01T03:59:58.2390000Z,20501,20502,20480,20484,2.65644815,22,2022-11-01 03:55:00+00:00,2022-11-01 04:00:00+00:00
2022-11-01T04:00:35.7770000Z,2022-11-01T04:04:04.3970000Z,20481,20485,20480,20485,2.00741935,13,2022-11-01 04:00:00+00:00,2022-11-01 04:05:00+00:00
2022-11-01T04:05:18.4730000Z,2022-11-01T04:09:59.3140000Z,20488,20488,20467,20473,5.82737152,48,2022-11-01 04:05:00+00:00,2022-11-01 04:10:00+00:00
2022-11-01T04:10:04.3930000Z,2022-11-01T04:14:29.8320000Z,20473,20480,20468,20480,0.40443555,24,2022-11-01 04:10:00+00:00,2022-11-01 04:15:00+00:00
2022-11-01T04:16:02.5800000Z,2022-11-01T04:19:16.0490000Z,20480,20490,20480,20490,0.03617551,9,2022-11-01 04:15:00+00:00,2022-11-01 04:20:00+00:00
2022-11-01T04:20:12.4520000Z,2022-11-01T04:24:48.5390000Z,20487,20505,20487,20505,2.06882622,36,2022-11-01 04:20:00+00:00,2022-11-01 04:25:00+00:00
2022-11-01T04:25:10.8860000Z,2022-11-01T04:29:51.0000000Z,20502,20505,20483,20483,2.03949101,31,2022-11-01 04:25:00+00:00,2022-11-01 04:30:00+00:00
2022-11-01T04:30:04.2830000Z,2022-11-01T04:34:58.3690000Z,20476,20489,20470,20485,2.15779719,38,2022-11-01 04:30:00+00:00,2022-11-01 04:35:00+00:00
2022-11-01T04:35:12.6030000Z,2022-11-01T04:39:50.6860000Z,20489,20517,20489,20507,5.29218258,40,2022-11-01 04:35:00+00:00,2022-11-01 04:40:00+00:00
2022-11-01T04:40:00.4140000Z,2022-11-01T04:44:24.1480000Z,20506,20517,20503,20508,2.58486867,20,2022-11-01 04:40:00+00:00,2022-11-01 04:45:00+00:00
2022-11-01T04:45:11.0440000Z,2022-11-01T04:49:33.2460000Z,20505,20510,20499,20499,1.53628406,22,2022-11-01 04:45:00+00:00,2022-11-01 04:50:00+00:00
2022-11-01T04:51:11.5540000Z,2022-11-01T04:54:52.0860000Z,20498,20499,20494,20498,3.09217817,18,2022-11-01 04:50:00+00:00,2022-11-01 04:55:00+00:00
2022-11-01T04:55:29.4580000Z,2022-11-01T04:59:37.8630000Z,20496,20498,20493,20493,2.7530063,20,2022-11-01 04:55:00+00:00,2022-11-01 05:00:00+00:00
2022-11-01T05:00:16.1490000Z,2022-11-01T05:04:52.8750000Z,20493,20527,20493,20527,1.42796719,17,2022-11-01 05:00:00+00:00,2022-11-01 05:05:00+00:00
2022-11-01T05:05:19.2710000Z,2022-11-01T05:09:33.0770000Z,20537,20543,20525,20537,1.74829712,32,2022-11-01 05:05:00+00:00,2022-11-01 05:10:00+00:00
2022-11-01T05:10:43.2770000Z,2022-11-01T05:14:30.6700000Z,20535,20535,20529,20529,0.58662124,11,2022-11-01 05:10:00+00:00,2022-11-01 05:15:00+00:00
2022-11-01T05:15:26.2630000Z,2022-11-01T05:18:29.1080000Z,20529,20536,20528,20536,1.676736,14,2022-11-01 05:15:00+00:00,2022-11-01 05:20:00+00:00
2022-11-01T05:20:11.8660000Z,2022-11-01T05:24:49.7610000Z,20536,20537,20512,20517,5.20682257,39,2022-11-01 05:20:00+00:00,2022-11-01 05:25:00+00:00
2022-11-01T05:25:20.4830000Z,2022-11-01T05:29:42.0890000Z,20517,20517,20493,20508,2.39375118,30,2022-11-01 05:25:00+00:00,2022-11-01 05:30:00+00:00
2022-11-01T05:30:07.0830000Z,2022-11-01T05:34:58.7580000Z,20507,20516,20507,20516,5.16877069,30,2022-11-01 05:30:00+00:00,2022-11-01 05:35:00+00:00
2022-11-01T05:35:02.3250000Z,2022-11-01T05:39:23.0510000Z,20516,20526,20516,20520,6.44503802,36,2022-11-01 05:35:00+00:00,2022-11-01 05:40:00+00:00
2022-11-01T05:40:40.2680000Z,2022-11-01T05:44:58.4480000Z,20519,20526,20519,20526,2.64817883,18,2022-11-01 05:40:00+00:00,2022-11-01 05:45:00+00:00
2022-11-01T05:45:00.4710000Z,2022-11-01T05:49:53.7090000Z,20526,20549,20526,20543,6.16344232,38,2022-11-01 05:45:00+00:00,2022-11-01 05:50:00+00:00
2022-11-01T05:50:17.3530000Z,2022-11-01T05:54:57.2620000Z,20541,20541,20528,20533,7.55949678,40,2022-11-01 05:50:00+00:00,2022-11-01 05:55:00+00:00
2022-11-01T05:55:08.8520000Z,2022-11-01T05:59:55.9650000Z,20533,20536,20527,20528,0.29009947,19,2022-11-01 05:55:00+00:00,2022-11-01 06:00:00+00:00
2022-11-01T06:00:57.5590000Z,2022-11-01T06:04:52.5620000Z,20530,20538,20522,20531,7.4764476,50,2022-11-01 06:00:00+00:00,2022-11-01 06:05:00+00:00
2022-11-01T06:05:10.0240000Z,2022-11-01T06:09:31.1550000Z,20532,20571,20532,20567,19.83469485,67,2022-11-01 06:05:00+00:00,2022-11-01 06:10:00+00:00
2022-11-01T06:10:18.5720000Z,2022-11-01T06:14:34.3020000Z,20570,20610,20570,20599,22.40105606,95,2022-11-01 06:10:00+00:00,2022-11-01 06:15:00+00:00
2022-11-01T06:15:05.7580000Z,2022-11-01T06:19:50.2890000Z,20610,20646,20608,20636,14.36790589,72,2022-11-01 06:15:00+00:00,2022-11-01 06:20:00+00:00
2022-11-01T06:20:19.7910000Z,2022-11-01T06:24:45.2800000Z,20644,20651,20628,20628,12.90336935,66,2022-11-01 06:20:00+00:00,2022-11-01 06:25:00+00:00
2022-11-01T06:25:19.4790000Z,2022-11-01T06:29:53.8610000Z,20634,20634,20616,20619,6.82540496,49,2022-11-01 06:25:00+00:00,2022-11-01 06:30:00+00:00
