time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,Open time,Close time
2021-03-01T03:05:17.9650000Z,2021-03-01T03:09:42.7100000Z,1440.5,1440.57,1434.3,1438.09,113.89760319,27,2021-03-01 03:05:00+00:00,2021-03-01 03:10:00+00:00
2021-03-01T03:10:06.8550000Z,2021-03-01T03:14:56.8560000Z,1438.52,1441.55,1437.92,1441.55,125.12504154,27,2021-03-01 03:10:00+00:00,2021-03-01 03:15:00+00:00
2021-03-01T03:15:05.5490000Z,2021-03-01T03:19:44.8820000Z,1441.55,1443.49,1441.55,1442.5,42.04973759,15,2021-03-01 03:15:00+00:00,2021-03-01 03:20:00+00:00
2021-03-01T03:20:11.1010000Z,2021-03-01T03:24:48.2480000Z,1442.33,1442.65,1439.48,1439.55,144.76283896,32,2021-03-01 03:20:00+00:00,2021-03-01 03:25:00+00:00
2021-03-01T03:25:04.1920000Z,2021-03-01T03:29:54.9300000Z,1441.23,1444.48,1441.23,1443.78,43.12574626,11,2021-03-01 03:25:00+00:00,2021-03-01 03:30:00+00:00
2021-03-01T03:30:29.9350000Z,2021-03-01T03:34:56.3350000Z,1444.36,1447.54,1443.71,1443.88,121.33397939,27,2021-03-01 03:30:00+00:00,2021-03-01 03:35:00+00:00
2021-03-01T03:35:05.4530000Z,2021-03-01T03:39:22.9600000Z,1444.34,1445.85,1442.74,1442.74,23.64538474,12,2021-03-01 03:35:00+00:00,2021-03-01 03:40:00+00:00
2021-03-01T03:41:45.9850000Z,2021-03-01T03:44:59.9300000Z,1439.37,1441.4,1438.08,1439.27,64.23411563,26,2021-03-01 03:40:00+00:00,2021-03-01 03:45:00+00:00
2021-03-01T03:45:01.2110000Z,2021-03-01T03:49:59.6350000Z,1439.0,1439.94,1435.73,1437.72,366.15858886,96,2021-03-01 03:45:00+00:00,2021-03-01 03:50:00+00:00
2021-03-01T03:50:12.7190000Z,2021-03-01T03:54:56.5680000Z,1437.78,1439.49,1433.77,1438.99,99.33907578,24,2021-03-01 03:50:00+00:00,2021-03-01 03:55:00+00:00
2021-03-01T03:55:01.6840000Z,2021-03-01T03:59:48.7300000Z,1439.42,1445.63,1433.74,1434.51,53.21426055,15,2021-03-01 03:55:00+00:00,2021-03-01 04:00:00+00:00
2021-03-01T04:00:02.6740000Z,2021-03-01T04:03:06.5770000Z,1436.52,1442.87,1436.52,1442.87,21.73136,10,2021-03-01 04:00:00+00:00,2021-03-01 04:05:00+00:00
2021-03-01T04:05:18.5730000Z,2021-03-01T04:09:37.4000000Z,1443.6,1444.65,1441.83,1442.74,87.07140554,24,2021-03-01 04:05:00+00:00,2021-03-01 04:10:00+00:00
2021-03-01T04:10:19.0750000Z,2021-03-01T04:14:48.5350000Z,1443.47,1443.73,1437.82,1437.82,50.12903832,12,2021-03-01 04:10:00+00:00,2021-03-01 04:15:00+00:00
2021-03-01T04:16:36.4600000Z,2021-03-01T04:19:36.3780000Z,1440.17,1440.18,1431.97,1431.97,62.9665189,29,2021-03-01 04:15:00+00:00,2021-03-01 04:20:00+00:00
2021-03-01T04:20:30.3310000Z,2021-03-01T04:24:24.1510000Z,1430.82,1430.82,1423.29,1426.43,96.10434838,32,2021-03-01 04:20:00+00:00,2021-03-01 04:25:00+00:00
2021-03-01T04:25:00.2790000Z,2021-03-01T04:29:15.1820000Z,1427.09,1431.99,1427.09,1431.76,107.72708109,30,2021-03-01 04:25:00+00:00,2021-03-01 04:30:00+00:00
2021-03-01T04:30:08.1200000Z,2021-03-01T04:34:44.8900000Z,1432.34,1434.94,1430.37,1434.09,37.36503773,18,2021-03-01 04:30:00+00:00,2021-03-01 04:35:00+00:00
2021-03-01T04:35:31.3200000Z,2021-03-01T04:39:44.3640000Z,1433.91,1433.91,1430.34,1430.72,12.18474051,10,2021-03-01 04:35:00+00:00,2021-03-01 04:40:00+00:00
2021-03-01T04:41:12.0870000Z,2021-03-01T04:44:05.1600000Z,1431.48,1436.21,1428.91,1435.28,58.55678916,15,2021-03-01 04:40:00+00:00,2021-03-01 04:45:00+00:00
2021-03-01T04:45:01.1300000Z,2021-03-01T04:49:39.6050000Z,1437.79,1442.92,1437.78,1442.07,158.3528105,32,2021-03-01 04:45:00+00:00,2021-03-01 04:50:00+00:00
2021-03-01T04:50:13.4410000Z,2021-03-01T04:54:30.3460000Z,1444.15,1448.08,1443.61,1444.43,103.36270672,38,2021-03-01 04:50:00+00:00,2021-03-01 04:55:00+00:00
2021-03-01T04:55:35.8460000Z,2021-03-01T04:59:28.5010000Z,1444.93,1444.93,1441.86,1442.97,37.00149568,13,2021-03-01 04:55:00+00:00,2021-03-01 05:00:00+00:00
2021-03-01T05:00:01.1620000Z,2021-03-01T05:04:34.9050000Z,1444.18,1445.0,1441.32,1441.32,43.97300559,12,2021-03-01 05:00:00+00:00,2021-03-01 05:05:00+00:00
2021-03-01T05:05:04.1820000Z,2021-03-01T05:09:57.0830000Z,1442.23,1445.0,1442.23,1444.38,261.98590136,53,2021-03-01 05:05:00+00:00,2021-03-01 05:10:00+00:00
2021-03-01T05:10:09.5980000Z,2021-03-01T05:14:29.0520000Z,1445.25,1447.56,1444.73,1444.78,142.78874613,36,2021-03-01 05:10:00+00:00,2021-03-01 05:15:00+00:00
2021-03-01T05:15:03.6760000Z,2021-03-01T05:19:53.1490000Z,1443.89,1443.89,1439.92,1439.92,196.1403135,37,2021-03-01 05:15:00+00:00,2021-03-01 05:20:00+00:00
2021-03-01T05:20:03.4270000Z,2021-03-01T05:23:43.3190000Z,1440.53,1442.57,1439.68,1442.25,142.08760103,41,2021-03-01 05:20:00+00:00,2021-03-01 05:25:00+00:00
2021-03-01T05:25:05.1390000Z,2021-03-01T05:29:54.0910000Z,1443.15,1443.15,1436.33,1436.33,266.0719063,44,2021-03-01 05:25:00+00:00,2021-03-01 05:30:00+00:00
2021-03-01T05:30:03.5930000Z,2021-03-01T05:34:54.5070000Z,1437.42,1443.55,1437.23,1443.3,244.7345503,53,2021-03-01 05:30:00+00:00,2021-03-01 05:35:00+00:00
